Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,15/01/2017,9.702505,9.598883,9.856681,9.49742
ETH,16/01/2017,9.663497,9.702505,9.847069,9.583018
ETH,17/01/2017,9.786222,9.663497,9.786222,9.497376
ETH,18/01/2017,10.333692,9.786222,10.561163,9.674241
ETH,19/01/2017,10.225847,10.333692,10.352994,9.826093
ETH,20/01/2017,10.500874,10.225847,10.625815,10.134024
ETH,21/01/2017,10.66865,10.500874,10.781268,10.500568
ETH,22/01/2017,10.9639,10.66865,10.992244,10.556973
ETH,23/01/2017,10.684885,10.9639,10.976513,10.552074
ETH,24/01/2017,10.699035,10.684885,10.843901,10.570305
ETH,25/01/2017,10.524163,10.699035,10.708827,10.47651
ETH,26/01/2017,10.505382,10.524163,10.557792,10.361204
ETH,27/01/2017,10.455241,10.505382,10.627169,10.371128
ETH,28/01/2017,10.483953,10.455241,10.534926,10.387379
ETH,29/01/2017,10.519501,10.483953,10.586944,10.385449
ETH,30/01/2017,10.40558,10.519501,10.552456,10.36141
ETH,31/01/2017,10.510549,10.40558,10.704383,10.380451
ETH,01/02/2017,10.710514,10.510549,10.773784,10.485255
ETH,02/02/2017,10.49782,10.710514,10.724779,10.420582
ETH,03/02/2017,10.663947,10.49782,10.838341,10.49782
ETH,04/02/2017,11.240959,10.663947,11.306775,10.547704
ETH,05/02/2017,11.27786,11.240959,11.3869,11.113591
ETH,06/02/2017,11.217052,11.27786,11.292164,11.090014
ETH,07/02/2017,11.331469,11.217052,11.359903,11.12636
ETH,08/02/2017,11.505409,11.331469,11.539611,11.331469
ETH,09/02/2017,11.403079,11.505409,11.527779,11.082082
ETH,10/02/2017,10.905312,11.403079,11.430615,10.446269
ETH,11/02/2017,11.21991,10.905312,11.363702,10.746563
ETH,12/02/2017,11.299272,11.21991,11.3967,11.142302
ETH,13/02/2017,11.280685,11.299272,11.365473,11.222616
ETH,14/02/2017,11.894969,11.280685,12.158671,11.132632
ETH,15/02/2017,12.681755,11.894969,13.443503,11.894969
ETH,16/02/2017,12.70062,12.681755,13.076179,12.572249
ETH,17/02/2017,12.784189,12.70062,12.927396,12.658899
ETH,18/02/2017,12.909267,12.784189,12.909267,12.668171
ETH,19/02/2017,12.886819,12.909267,12.935288,12.705714
ETH,20/02/2017,12.830235,12.886819,12.959944,12.734862
ETH,21/02/2017,12.562646,12.830235,12.87991,12.259448
ETH,22/02/2017,12.782024,12.562646,12.877094,12.513949
ETH,23/02/2017,12.71811,12.782024,12.851405,12.593217
ETH,24/02/2017,13.098521,12.71811,13.326826,12.663043
ETH,25/02/2017,13.194061,13.098521,13.30879,12.814862
ETH,26/02/2017,13.573991,13.194061,13.790784,13.140413
ETH,27/02/2017,14.706219,13.573991,14.720596,13.527597
ETH,28/02/2017,15.863437,14.706219,16.035658,14.466258
ETH,01/03/2017,15.76128,15.863437,16.043693,15.073632
ETH,02/03/2017,17.289049,15.76128,17.405764,15.592696
ETH,03/03/2017,20.235485,17.289049,20.449392,17.092352
ETH,04/03/2017,19.911787,20.235485,20.687836,18.388788
ETH,05/03/2017,18.920662,19.911787,20.068756,18.196824
ETH,06/03/2017,19.109602,18.920662,19.447878,18.399562
ETH,07/03/2017,19.342467,19.109602,20.13257,19.045734
ETH,08/03/2017,18.002569,19.342467,19.434647,17.917942
ETH,09/03/2017,16.932387,18.002569,18.623304,16.225021
ETH,10/03/2017,18.03119,16.932387,18.394961,16.682102
ETH,11/03/2017,18.952377,18.03119,19.517199,17.1718
ETH,12/03/2017,21.648475,18.952377,21.786357,18.909524
ETH,13/03/2017,24.637882,21.648475,24.874416,21.618904
ETH,14/03/2017,28.039033,24.637882,30.647523,24.594789
ETH,15/03/2017,28.521178,28.039033,29.870728,27.636649
ETH,16/03/2017,39.544387,28.521178,41.775065,28.426422
ETH,17/03/2017,47.540183,39.544387,48.263548,37.495155
ETH,18/03/2017,43.563357,47.540183,50.324124,37.288651
ETH,19/03/2017,37.976973,43.563357,43.563357,31.236382
ETH,20/03/2017,42.356981,37.976973,45.162028,36.803459
ETH,21/03/2017,43.451302,42.356981,45.166183,41.095066
ETH,22/03/2017,42.450104,43.451302,43.621792,41.598729
ETH,23/03/2017,41.088518,42.450104,42.713435,38.65205
ETH,24/03/2017,42.984147,41.088518,44.249224,40.336778
ETH,25/03/2017,50.379989,42.984147,53.865944,42.529626
ETH,26/03/2017,50.365804,50.379989,52.868296,47.922579
ETH,27/03/2017,51.413317,50.365804,51.663515,48.680025
ETH,28/03/2017,49.081083,51.413317,51.621777,47.96683
ETH,29/03/2017,52.407958,49.081083,52.855585,48.395779
ETH,30/03/2017,52.695111,52.407958,53.668441,50.927919
ETH,31/03/2017,49.745082,52.695111,53.151863,49.745082
ETH,01/04/2017,49.781778,49.745082,51.040304,47.129704
ETH,02/04/2017,50.422021,49.781778,51.786697,48.523031
ETH,03/04/2017,44.27212,50.422021,51.17352,39.704454
ETH,04/04/2017,43.743146,44.27212,47.409313,42.115697
ETH,05/04/2017,45.50185,43.743146,45.665543,41.356683
ETH,06/04/2017,44.820806,45.50185,47.203053,44.680941
ETH,07/04/2017,44.30351,44.820806,45.92454,40.939073
ETH,08/04/2017,44.339554,44.30351,45.547298,41.664568
ETH,09/04/2017,44.005367,44.339554,45.425618,43.769446
ETH,10/04/2017,44.090094,44.005367,44.87783,43.17865
ETH,11/04/2017,44.376748,44.090094,44.742171,42.949623
ETH,12/04/2017,44.060944,44.376748,44.551046,43.69506
ETH,13/04/2017,49.137396,44.060944,49.137396,43.681283
ETH,14/04/2017,49.104656,49.137396,51.25503,47.874173
ETH,15/04/2017,48.229629,49.104656,49.990213,47.455873
ETH,16/04/2017,49.721216,48.229629,50.307096,47.853301
ETH,17/04/2017,49.213228,49.721216,50.009993,48.826444
ETH,18/04/2017,50.192121,49.213228,50.348616,48.951589
