Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,29/11/2019,153.6738095,150.4199245,157.5477218,149.3600871
ETH,30/11/2019,151.655424,154.6333548,155.3667353,149.9045477
ETH,01/12/2019,151.5529038,151.656154,152.3992989,145.9724105
ETH,02/12/2019,149.4546547,151.5531083,152.1395962,146.6868256
ETH,03/12/2019,147.8113219,149.0437653,150.0229823,145.8376387
ETH,04/12/2019,145.6033386,147.8090196,152.1782861,143.3107348
ETH,05/12/2019,147.8270036,145.6036024,148.8058075,143.9984884
ETH,06/12/2019,148.6504041,148.0544193,149.519834,145.7474845
ETH,07/12/2019,147.8712516,148.6506468,149.5848528,147.1227833
ETH,08/12/2019,151.4106799,147.8742815,151.845365,146.4545058
ETH,09/12/2019,147.1595339,151.4106263,151.5515995,146.6904023
ETH,10/12/2019,145.797319,147.1614171,148.1517289,143.8551976
ETH,11/12/2019,143.0108044,145.8002271,146.3075411,142.0593823
ETH,12/12/2019,144.5101037,143.2522267,145.8505417,139.2794165
ETH,13/12/2019,144.4855855,144.6912933,145.1629101,142.7873857
ETH,14/12/2019,142.0555393,144.4855283,145.0437269,141.1641794
ETH,15/12/2019,142.6819305,142.0554434,143.9031342,139.8372896
ETH,16/12/2019,132.3435787,142.6814884,142.6818732,129.255671
ETH,17/12/2019,120.8798162,132.3441022,132.7613215,120.4019446
ETH,18/12/2019,133.8778331,120.8795882,134.2879357,116.2571391
ETH,19/12/2019,127.2736814,132.9349405,133.9879328,125.7528612
ETH,20/12/2019,127.3752755,127.2735675,128.5234325,125.8308868
ETH,21/12/2019,129.8708364,127.6401609,130.2112714,126.6059017
ETH,22/12/2019,128.9106173,129.8707266,131.4355915,126.588108
ETH,23/12/2019,125.0138244,128.9104738,131.6841222,123.9703665
ETH,24/12/2019,128.0056504,125.0129591,128.3185995,124.0074716
ETH,25/12/2019,125.3335416,128.0088701,128.1732248,123.2950005
ETH,26/12/2019,125.2582993,125.3333204,132.067008,123.3816559
ETH,27/12/2019,126.1492139,125.2563448,126.6638832,122.1867208
ETH,28/12/2019,128.0111453,126.1493765,129.3741249,125.7484878
ETH,29/12/2019,134.768035,128.0113804,137.8062787,127.2727017
ETH,30/12/2019,132.0730737,134.279097,136.0115699,130.0177846
ETH,31/12/2019,128.7226035,132.1265273,133.4051841,127.8465766
ETH,01/01/2020,129.8873633,128.7216212,132.6791743,128.2703839
ETH,02/01/2020,127.0556009,129.8863431,130.6324407,126.1302469
ETH,03/01/2020,132.9708332,127.0556009,134.6841516,125.4814194
ETH,04/01/2020,133.8206207,132.9703017,135.5848146,132.3263511
ETH,05/01/2020,134.8342522,133.8167911,138.195358,133.543008
ETH,06/01/2020,143.1316009,135.2739362,143.531238,134.7410752
ETH,07/01/2020,142.133414,143.1324736,145.3194577,138.9961843
ETH,08/01/2020,140.3393937,142.1874732,147.8878586,137.0702812
ETH,09/01/2020,137.494999,140.510254,141.3850517,135.4280274
ETH,10/01/2020,142.8347834,137.49557,145.1033113,135.274729
ETH,11/01/2020,143.0715916,144.8464765,147.8492529,142.0189514
ETH,12/01/2020,145.2809937,143.0715231,145.7229897,141.7851073
ETH,13/01/2020,143.936917,145.3010869,146.9424926,142.1317502
ETH,14/01/2020,163.8546315,143.5929432,170.7564252,143.5882636
